count;max;mutid;#fold;learntime;#E;predtime;#Eon;#inter;+WG;+WT;+WTG;+WO;+WOG;+WN;+WNG;+WT*;+WT*G;+WZ;+WZG
229;599;1358280327454;4;1302932;3033;78;3033;190;95;79;22;36;12;14;10;15;11;14;10
230;599;1358268462472;4;1302932;3033;11;3033;230;115;1;1;1;1;1;1;1;1;1;1
231;599;1358271899895;4;1302932;3033;7;3033;197;98;32;19;32;19;32;19;32;19;32;19
232;599;1358280350384;4;1302932;3033;845;3033;137;68;144;9;4;3;4;3;4;3;4;3
233;599;1358263395376;4;1302932;3033;9;3033;227;113;3;1;3;1;3;1;3;1;3;1
234;599;1358279607276;4;1302932;3033;938;3033;47;23;26;1;1;1;1;1;1;1;1;1
235;599;1358263849528;4;1302932;3033;26;3033;157;78;10;4;1;1;1;1;1;1;1;1
236;599;1358271500939;4;1302932;3033;577;3033;67;33;141;8;10;5;1;1;8;5;1;1
237;599;1358260007722;5;1302932;2994;805;2994;128;64;144;8;4;3;4;3;4;3;4;3
238;599;1358282706837;5;1302932;2994;5;2994;3;1;1;1;0;0;0;0;0;0;0;0
239;599;1358268553649;5;1302932;2994;6;2994;4;2;0;0;0;0;0;0;0;0;0;0
240;599;1358265314477;5;1302932;2994;15;2994;214;107;4;1;1;1;1;1;1;1;1;1
241;599;1358266998964;5;1302932;2994;696;2994;128;64;96;5;0;0;0;0;0;0;0;0
242;599;1358270546098;5;1302932;2994;48;2994;201;100;2;2;1;1;1;1;1;1;1;1
243;599;1358268763976;5;1302932;2994;61;2994;178;-1;3;3;0;0;0;0;0;0;0;0
244;599;1358279757800;5;1302932;2994;16;2994;207;103;3;1;1;1;1;1;1;1;1;1
245;599;1358278567399;5;1302932;2994;684;2994;52;26;25;1;0;0;0;0;0;0;0;0
246;599;1358288138160;5;1302932;2994;17;2994;218;109;1;1;1;1;1;1;1;1;1;1
247;599;1358260284818;5;1302932;2994;18;2994;215;107;3;1;1;1;1;1;1;1;1;1
248;599;1358271114459;5;1302932;2994;11;2994;191;95;0;0;0;0;0;0;0;0;0;0
249;599;1358264793431;5;1302932;2994;306;2994;10;-1;53;53;7;7;3;3;5;5;3;3
250;599;1358270423422;5;1302932;2994;8;2994;221;110;0;0;0;0;0;0;0;0;0;0
251;599;1358288233445;5;1302932;2994;14;2994;178;89;60;27;53;22;8;6;12;9;16;8
